1.000E-01 0.500E+00 0.400E+00 8.076E+04  1.750E+05 3.000E+04 1.000E+02 1.000E+01 3.350E+02 1.000E-06 926
 3331       0.0051766734025156       0.2731676282753877
 3332       0.0400501698245366       0.2933018625857096
 3333       0.0749236662465576       0.3134360968960319
 3334       0.1097971626685781       0.3335703312063543
 3335       0.1446706590905986       0.3537045655166762
 3336       0.1795441555126196       0.3738387998269981
 3337       0.2144176519346406       0.3939730341373204
 3338       0.2492911483566611       0.4141072684476428
 3339       0.2841646447786821       0.4342415027579647
 3340       0.3190382186293963       0.4543757817717902
 3341       0.3539116376227236       0.4745099713786094
 3342       0.3887852114734378       0.4946442503924344
 3343       0.4236586304667651       0.5147784399992532
 3344       0.4585322043174793       0.5349127190130787
 3345       0.4934056233108066       0.5550469086198979
 3346       0.5282791971615213       0.5751811876337229
 3347       0.5631526161548481       0.5953153772405422
 3348       0.5980261900055628       0.6154496562543676
 3349       0.6328997638562770       0.6355839352681927
 3350       0.6677731828496039       0.6557181248750115
 3351       0.7026467567003185       0.6758524038888369
 3352       0.7375201756936458       0.6959865934956562
 3353       0.7723937495443600       0.7161208725094812
 3354       0.8072671685376873       0.7362550621163004
 3355       0.8421407423884015       0.7563893411301259
 3356       0.8770141613817288       0.7765235307369447
 3357       0.9118877352324430       0.7966578097507702
 3358       0.9467611542257703       0.8167919993575889
 3359       0.9816347280764846       0.8369262783714144
 3482       0.0199159355142142       0.3281753590077303
 3483       0.0547894319362348       0.3483095933180527
 3484       0.0896629283582557       0.3684438276283750
 3485       0.1245364247802767       0.3885780619386969
 3486       0.1594099212022972       0.4087122962490188
 3487       0.1942834176243178       0.4288465305593412
 3488       0.2291569140463388       0.4489807648696635
 3489       0.2640304104683597       0.4691149991799854
 3490       0.2989039843190739       0.4892492781938109
 3491       0.3337774033124012       0.5093834678006302
 3492       0.3686509771631155       0.5295177468144552
 3493       0.4035243961564428       0.5496519364212740
 3494       0.4383979700071570       0.5697862154350994
 3495       0.4732713890004843       0.5899204050419187
 3496       0.5081449628511985       0.6100546840557437
 3497       0.5430183818445258       0.6301888736625629
 3498       0.5778919556952404       0.6503231526763884
 3499       0.6127655295459546       0.6704574316902134
 3500       0.6476389485392815       0.6905916212970322
 3501       0.6825125223899962       0.7107259003108577
 3502       0.7173859413833235       0.7308600899176769
 3503       0.7522595152340377       0.7509943689315020
 3504       0.7871329342273650       0.7711285585383212
 3505       0.8220065080780792       0.7912628375521467
 3506       0.8568799270714065       0.8113970271589654
 3507       0.8917535009221207       0.8315313061727909
 3508       0.9266269199154480       0.8516654957796097
 3509       0.9615004937661622       0.8717997747934352
 3510       0.9963739127594895       0.8919339644002540
 3633       0.0346551976259128       0.3831830897400734
 3634       0.0695286940479338       0.4033173240503958
 3635       0.1044021904699544       0.4234515583607177
 3636       0.1392756868919749       0.4435857926710396
 3637       0.1741491833139959       0.4637200269813619
 3638       0.2090226797360168       0.4838542612916843
 3639       0.2438961761580378       0.5039884956020062
 3640       0.2787697500087516       0.5241227746158317
 3641       0.3136431690020789       0.5442569642226509
 3642       0.3485167428527935       0.5643912432364759
 3643       0.3833901618461208       0.5845254328432947
 3644       0.4182637356968346       0.6046597118571202
 3645       0.4531371546901619       0.6247939014639394
 3646       0.4880107285408766       0.6449281804777645
 3647       0.5228841475342039       0.6650623700845837
 3648       0.5577577213849185       0.6851966490984092
 3649       0.5926312952356323       0.7053309281122342
 3650       0.6275047142289596       0.7254651177190530
 3651       0.6623782880796742       0.7455993967328784
 3652       0.6972517070730015       0.7657335863396977
 3653       0.7321252809237153       0.7858678653535227
 3654       0.7669986999170426       0.8060020549603419
 3655       0.8018722737677573       0.8261363339741674
 3656       0.8367456927610846       0.8462705235809862
 3657       0.8716192666117983       0.8664048025948117
 3658       0.9064926856051256       0.8865389922016305
 3659       0.9413662594558403       0.9066732712154559
 3660       0.9762396784491676       0.9268074608222747
 3783       0.0145209186120878       0.4180566635907879
 3784       0.0493944150341084       0.4381908979011102
 3785       0.0842679114561289       0.4583251322114321
 3786       0.1191414078781499       0.4784593665217540
 3787       0.1540149043001708       0.4985936008320764
 3788       0.1888884007221914       0.5187278351423987
 3789       0.2237618971442124       0.5388620694527206
 3790       0.2586354709949266       0.5589963484665461
 3791       0.2935088899882539       0.5791305380733653
 3792       0.3283824638389681       0.5992648170871904
 3793       0.3632558828322954       0.6193990066940092
 3794       0.3981294566830096       0.6395332857078346
 3795       0.4330028756763369       0.6596674753146539
 3796       0.4678764495270515       0.6798017543284789
 3797       0.5027498685203784       0.6999359439352981
 3798       0.5376234423710931       0.7200702229491236
 3799       0.5724970162218073       0.7402045019629486
 3800       0.6073704352151341       0.7603386915697674
 3801       0.6422440090658488       0.7804729705835929
 3802       0.6771174280591761       0.8006071601904121
 3803       0.7119910019098903       0.8207414392042371
 3804       0.7468644209032176       0.8408756288110564
 3805       0.7817379947539318       0.8610099078248818
 3806       0.8166114137472591       0.8811440974317006
 3807       0.8514849875979733       0.9012783764455261
 3808       0.8863584065913006       0.9214125660523449
 3809       0.9212319804420148       0.9415468450661704
 3810       0.9561053994353421       0.9616810346729892
 3811       0.9909789732860568       0.9818153136868146
 3934       0.0292601807237860       0.4730643943231310
 3935       0.0641336771458070       0.4931986286334529
 3936       0.0990071735678280       0.5133328629437748
 3937       0.1338806699898485       0.5334670972540971
 3938       0.1687541664118690       0.5536013315644195
 3939       0.2036276628338900       0.5737355658747414
 3940       0.2385012366846047       0.5938698448885669
 3941       0.2733746556779320       0.6140040344953861
 3942       0.3082482295286457       0.6341383135092111
 3943       0.3431216485219730       0.6542725031160299
 3944       0.3779952223726877       0.6744067821298554
 3945       0.4128686413660150       0.6945409717366746
 3946       0.4477422152167292       0.7146752507504996
 3947       0.4826156342100560       0.7348094403573189
 3948       0.5174892080607707       0.7549437193711444
 3949       0.5523627819114854       0.7750779983849694
 3950       0.5872362009048118       0.7952121879917882
 3951       0.6221097747555264       0.8153464670056136
 3952       0.6569831937488537       0.8354806566124329
 3953       0.6918567675995684       0.8556149356262579
 3954       0.7267301865928957       0.8757491252330771
 3955       0.7616037604436094       0.8958834042469026
 3956       0.7964771794369367       0.9160175938537214
 3957       0.8313507532876514       0.9361518728675469
 3958       0.8662241722809787       0.9562860624743657
 3959       0.9010977461316925       0.9764203414881911
 3960       0.9359711651250198       0.9965545310950099
